ID,Name,website,phone,address,postcode,language
1,IDENTIFY ENGLISH,http://www.identifyenglish.edu.au/,1300 019 306,"275-B Spring Street (Rear Entrance, Reservoir VIC 3073",3073,English
2,Hawthorn-Melbourne English Language Centre,http://hawthornenglish.com/,(03) 9815 4000,"442 Auburn Rd, Hawthorn VIC 3122",3122,English
3,Acknowledge Education (Melbourne Language Centre - City Campus),http://www.melblang.com.au/,(03) 9663 3399,"168 Exhibition St, Melbourne VIC 3000",3000,English
4,Noble Park English Language School,http://www.nobleparkels.vic.edu.au/,(03) 9546 9578,"21-35 Thomas St, Noble Park VIC 3174",3174,English
5,Brunswick English Language Centre,N/A,(03) 9380 6889,"47 Dawson St, Brunswick VIC 3056",3056,English
6,Blackburn English Language School,http://www.blackburnels.vic.edu.au/,(03) 9803 4022,"120 Eley Rd, Burwood East VIC 3151",3151,English
7,Melbourne PTE Study Centre,http://ptestudycentre.com.au/,0415 417 757,"8/345 Queen St, Melbourne VIC 3000",3000,English
8,Discover English,http://www.discoverenglish.vic.edu.au/,(03) 9602 4800,"247 Collins St, Melbourne VIC 3000",3000,English
9,ROMAN PTE,https://romanptemelbourne.com.au/,0416 081 000,"Level 3/213-215 Lonsdale St, Melbourne VIC 3000",3000,English
10,Perfect English IELTS Preparation Centre,http://www.perfectielts.com.au/,0411 583 545,"World Trade Centre, Level 10, Tower 4/611 Flinders St, Melbourne VIC 3005",3005,English
11,Turner English,https://turnerenglish.com.au/,(03) 4149 7588,"Suite 508, Level 5/235 Queen St, Melbourne VIC 3000",3000,English
12,Study Hub,http://www.studyhub.net.au/,0433 597 968,"21 Victoria St, Footscray VIC 3011",3011,English
13,Glen Eira English Language Centre,http://gec.vic.edu.au/english-language-centre/,N/A,"71 Booran Rd, Caulfield VIC 3162",3162,English
14,"Australian Centre for English Studies - General English, IELTS, Citizenship English & VCE English",https://acestudies.com.au/,0493 145 546,"3 Whyalla Gardens, Tarneit VIC 3029",3029,English
15,Primus English,http://eprimus.com.au/,N/A,"3/123 Lonsdale St, Melbourne VIC 3000",3000,English
16,OHC English Melbourne,https://www.ohcenglish.com/school/melbourne,(03) 9662 2055,"185 Spring St, Melbourne VIC 3000",3000,English
17,Collingwood English Language School,https://www.collingwoodels.vic.edu.au/,(03) 9419 7633,"19 Cambridge St, Collingwood VIC 3066",3066,English
18,City Language Centre,https://cityenglish.edu.au/,(03) 8639 0184,"Level 3, Suite 303/343 Little Collins St, Melbourne VIC 3000",3000,English
19,Westall English Language Centre,https://www.westallsc.vic.edu.au/westall-english-language-centre-welc-,(03) 9546 1732,"83 Rosebank Ave, Clayton South VIC 3169",3169,English
20,Greenwich English College Melbourne,http://www.greenwichcollege.edu.au/,(03) 8609 0000,"Level 8/120 Spencer St, Melbourne VIC 3000",3000,English
21,AMEP,https://www.boxhill.edu.au/services/amep/,(03) 8892 1200,"253 Flinders Ln, Melbourne VIC 3000",3000,English
22,LearningPlus Academy,http://www.learningplusacademy.com/,0480 289 720,N/A,N/A,English
23,Omid's English Teaching,N/A,0469 047 783,"2/369 High St, Lower Melbourne VIC 3107",3107,English
24,Ozford,https://www.ozford.edu.au/,(03) 8663 7188,"123 Lonsdale St, Melbourne VIC 3000",3000,English
25,Royanz Australia Advanced Education,https://royanz-australia-advanced-education.business.site/,(03) 9822 2123,"1/497 Burke Rd, Camberwell VIC 3124",3124,English
26,"Spectrum Tuition - Primary, Secondary & VCE Mathematics & English Tuition",https://spectrumtuition.com/,1800 668 177,"Rosamond Rd & Mephan St, West Footscray VIC 3011",3011,English
27,English Language School for Pastoral Ministry,http://elspm.org.au/,(02) 8577 5600,"98 Albion Rd, Box Hill VIC 3128",3128,English
28,Auliau Education Group,http://auliau.com.au/,(03) 7019 2011,"1 Railway Walk, Camberwell VIC 3124",3124,English
29,Aldon Tutoring Centre,http://www.aldontutoringcentre.com/,0439 658 336,"194 Buckley St, Essendon VIC 3040",3040,English
30,Master Coaching and Tuition Pty. Ltd.,http://www.mastercoachingandtuition.com.au/,0431 853 006,"Unit 2/15 Orchard Rd, Bayswater VIC 3153",3153,English
31,TSSM,https://tssm.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,1300 134 518,"474 Flinders St, Melbourne VIC 3000",3000,English
32,EDUTOP ,http://edutop.com.au/,0426 008 858,"Suite 1/10-12 Prospect St, Box Hill VIC 3128",3128,English
33,My English Tutor,https://my-english-tutor.com.au/,(03) 9005 8202,N/A,N/A,English
34,Waverley Community Learning Centre,http://www.wclc.org.au/,(03) 9807 6011,"5 Fleet St, Mount Waverley VIC 3149",3149,English
35,Kumon Narre Warren Centre,https://www.kumonsearch.com.au/centre/kumon-narre-warren,0479 098 012,"8/26-28 Verdun Dr, Narre Warren VIC 3805",3805,English
36,The Matt Christie Institute of Australia,http://www.mcioa.com.au/,(03) 9404 4193,"2 Springfield Ct, Mill Park VIC 3082",3082,English
37,Foresee Education,http://foreseelearning.com.au/,(03) 8806 4237,"5 Walkers Rd, Nunawading VIC 3131",3131,English
38,Boost English,http://boostenglish.com.au/,0439 349 059,"Level 2, Suite 8/118 Queen St, Melbourne VIC 3000",3000,English
39,EduCat VCE Tutoring,http://www.educatguides.com/,0408 006 239,"Suite 5B/10-12 Prospect St, Box Hill VIC 3128",3128,English
40,Einstein College Of Australia,http://www.einsteincollege.vic.edu.au/,(03) 9629 3693,"Level 9/310 King St, Melbourne VIC 3000",3000,English
